Date,0.083,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2024-05-08,5.69499738996902,6.96067572184867,7.0604173339885,7.05989232092172,7.05566204637106,7.0527681986952,7.05080977424232,7.04940859937936,7.04835754099414,7.0475400376678,7.04688603399197,7.04635093999941,7.04590502833329,7.04552771846153,7.04520431,7.04492402266667,7.04467877125,7.04446237294118,7.04427001888889,7.04427001888889,7.043943017,7.04380287333333,7.04367547,7.04355914521739,7.04345251416667,7.0433544136,7.04326385923077,7.04318001259259,7.043102155,7.04302966689655,7.04296201133333
2024-05-07,5.64402162446175,6.74704105904594,6.91139993209969,6.96626660000457,6.99369995,7.01015996,7.0211333,7.0289714,7.034849975,7.0394222,7.04307998,7.04607270909091,7.04856665,7.05067690769231,7.0524857,7.05405332,7.0554249875,7.05663528235294,7.0577111,7.0577111,7.05953999,7.0603238,7.06103635454545,7.06168694782609,7.062283325,7.062831992,7.06333845384615,7.0638074,7.06424285,7.06464826896552,7.06502666
2024-05-06,5.67310407446215,6.86317828269001,7.05413697898119,7.06176790192932,7.04909915826743,7.03805864401004,7.03005133867266,7.02421566850331,7.01981857579482,7.01639510713874,7.01365573328812,7.01141432584208,7.00954646916387,7.0079659721697,7.00661125997722,7.00543717599624,7.00440985249938,7.00350339058813,7.00269764666665,7.00269764666665,7.001327882,7.00074084,7.00020716545454,6.9997198973913,6.999273235,6.9988623056,6.99848298615385,6.99813176444444,6.99780563,6.99750198758621,6.997218588
2024-05-03,5.63386613185534,6.89564577608821,7.08195906477781,7.07573056370995,7.05248972300324,7.03425439091373,7.02126935805053,7.01184153783799,7.00474316172456,6.99921732203551,6.99479579281594,6.99117802835147,6.98816319863913,6.9856121843842,6.98342559996072,6.98153055999332,6.97987239999887,6.97840931764687,6.97710879999997,6.97710879999997,6.97489792,6.9739504,6.97308901818182,6.97230253913043,6.9715816,6.970918336,6.97030609230769,6.9697392,6.9692128,6.96872270344828,6.96826528
2024-05-02,5.540916872756,6.95610685566867,7.21196450386869,7.21302240241348,7.18177568363444,7.15464547643365,7.13457044335803,7.11978141721375,7.10859050022918,7.09986493061487,7.09287984952067,7.08716379602871,7.08240020849376,7.07836943622933,7.07491447921747,7.07192018117091,7.06930016996628,7.06698839528712,7.06493348444299,7.06493348444299,7.06144013599994,7.05994298666665,7.05858194181818,7.05733924869565,7.05620011333333,7.0551521088,7.05418472,7.05328898962963,7.05245724,7.05168285241379,7.05096009066667
2024-04-30,5.57788333365692,6.99769579926413,7.2532757461367,7.26290218310223,7.24087975249339,7.22103730428458,7.20633804542253,7.19552742996029,7.18735532967461,7.18098623446644,7.1758883430502,7.17171681921482,7.1682404457751,7.16529887853367,7.16277753114405,7.16059236261145,7.15868033998928,7.15699326117439,7.15549363555515,7.15549363555515,7.15294427199998,7.15185168761904,7.15085842909091,7.14995154086957,7.14912022666667,7.1483554176,7.14764944,7.14699575703704,7.14638876571429,7.14582363586207,7.14529618133333
2024-04-29,5.55321986999719,7.00381543166307,7.2525277098509,7.2504864163109,7.21939741935507,7.19322213146271,7.17407651220597,7.16003638537891,7.14942980498636,7.14116444439278,7.13454892516233,7.12913557143007,7.12462431070303,7.12080706338357,7.11753513174751,7.11469945658855,7.11221824060956,7.11002893234989,7.10808288055495,7.10808288055495,7.10477459249998,7.1033567547619,7.10206781136364,7.10089095,7.09981216041667,7.098819674,7.09790353269231,7.0970552537037,7.09626756607143,7.09553420172414,7.09484972833333
2024-04-26,5.49764284930496,6.9335248007557,7.19572879595191,7.2041993966754,7.17948970825596,7.15729236270233,7.14080824170953,7.12866636570795,7.11948189165529,7.11232208501679,7.10659085963809,7.10190098035239,7.09799260547344,7.09468549007036,7.09185081383843,7.0893940932439,7.08724446248212,7.08534772940819,7.08366174444373,7.08366174444373,7.08079556999997,7.0795672095238,7.07845051818182,7.07743093043478,7.07649630833333,7.075636456,7.07484274615385,7.07410782962963,7.07342540714286,7.07279004827586,7.07219704666667
2024-04-25,5.54109711351574,6.88275671994752,7.14684649393815,7.16286944193434,7.1423161368608,7.12228168723352,7.10706757319196,7.09577384662166,7.08720820095851,7.08052505260593,7.07517396557571,7.07079481576416,7.06714531180194,7.06405722446291,7.06141028273114,7.05911626449006,7.05710899808788,7.05533788058043,7.05376355388725,7.05376355388725,7.05108719849993,7.0499401890476,7.04889745318181,7.04794539,7.04707266541667,7.0462697588,7.04552861423077,7.04484236925926,7.04420514178571,7.04361186103448,7.04305813233333
2024-04-24,5.55292108845447,6.81481248938435,7.09183323180711,7.12145192810028,7.10821191814627,7.09209880367409,7.0792443578308,7.06954408053682,7.06214506976173,7.05636121231721,7.05172737309022,7.04793449286982,7.04477340217938,7.04209855153177,7.0398058038179,7.03781875157526,7.03608007990486,7.03454595762575,7.03318229332856,7.03318229332856,7.03086406399976,7.0298705371428,7.02896733090908,7.02814266434782,7.02738672,7.0266912512,7.02604928,7.02545486222222,7.02490290285714,7.02438900965517,7.023909376
